statement,source,link,veracity
"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",Donald Trump,/web/20180119171045/http://www.politifact.com/truth-o-meter/statements/2017/jul/11/donald-trump/did-john-podesta-deny-cia-and-fbi-access-dnc-serve/,False
"Says Miami-Dade Circuit Court Judge Milton Hirsch ""is constantly overturned.""",Richard Corcoran,/web/20180119171045/http://www.politifact.com/florida/statements/2017/jul/11/richard-corcoran/richard-corcoran-fails-prove-claim-miami-judge-mil/,False
The GOP health care proposal would slash more than $135 million in federal funding available to PA schools.,Bob Casey,/web/20180119171045/http://www.politifact.com/pennsylvania/statements/2017/jul/11/bob-casey/trumpcare-fight-casey-overstates-gops-potential-me/,False
"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",Chris Murphy,/web/20180119171045/http://www.politifact.com/truth-o-meter/statements/2017/jul/10/chris-murphy/donald-trump-responsible-rising-health-insurance-p/,Mostly False
"Says ""James Comey Has Been Having An Affair With"" Debbie Wasserman Schultz.",FreedomCrossroads.us,/web/20180119171045/http://www.politifact.com/punditfact/statements/2017/jul/10/freedomcrossroadsus/its-fake-news-james-comey-and-debbie-wasserman-sch/,Pants on Fire!
"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",Donald Trump,/web/20180119171045/http://www.politifact.com/truth-o-meter/statements/2017/jul/10/donald-trump/donald-trump-says-barack-obama-did-nothing-about-r/,Mostly False
"Giving a committee chair’s stipend in the New York State Senate to another member of that committee ""has been, in fact, a legislative practice for decades.""",Diane Savino,/web/20180119171045/http://www.politifact.com/new-york/statements/2017/jul/10/diane-savino/stipends-vice-chairs-state-senate-new-practice-not/,False
"""Sanctuary cities are extremely dangerous.""",Pat Toomey,/web/20180119171045/http://www.politifact.com/pennsylvania/statements/2017/jul/08/pat-toomey/pat-toomey-says-radical-philly-extremely-dangerous/,Mostly False
"""Western New Yorkers pay some of the highest property taxes in the state.""",Raymond Walter,/web/20180119171045/http://www.politifact.com/new-york/statements/2017/jul/07/raymond-walter/where-are-property-taxes-highest-new-york/,Half-True
"""Cuba is far more sanctioned than North Korea.""",Hagar Chemali,/web/20180119171045/http://www.politifact.com/punditfact/statements/2017/jul/07/hagar-chemali/are-sanctions-against-cuba-tougher-they-are-north-/,Half-True
"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""",Gwen Moore,/web/20180119171045/http://www.politifact.com/wisconsin/statements/2017/jul/07/gwen-moore/are-poor-people-less-likely-use-drugs/,False
"Spicer: ""Trump has the legal right to cancel SCOTUS because they serve at his pleasure""",Bloggers,/web/20180119171045/http://www.politifact.com/punditfact/statements/2017/jul/06/blog-posting/its-fake-news-president-can-disband-supreme-court/,Pants on Fire!
"Says the manager of a Checkers in Miami Gardens, Fla., killed 10 employees.",Channel24News.com,/web/20180119171045/http://www.politifact.com/punditfact/statements/2017/jul/06/channel24newscom/story-about-checkers-shooting-came-fake-news-gener/,Pants on Fire!
"""Gas prices are the lowest in the U.S. in over ten years!""",Donald Trump,/web/20180119171045/http://www.politifact.com/truth-o-meter/statements/2017/jul/06/donald-trump/donald-trump-right-gas-prices-now-lowest-over-10-y/,Mostly False
Australia is microchipping its public.,Bloggers,/web/20180119171045/http://www.politifact.com/punditfact/statements/2017/jul/06/blog-posting/no-australian-government-not-installing-microchips/,Pants on Fire!
"Says that Bill Clinton ""basically"" told then-Attorney General Loretta Lynch in 2016 that ""we killed Vince Foster.""",Pete Olson,/web/20180119171045/http://www.politifact.com/texas/statements/2017/jul/05/pete-olson/pete-olson-said-bill-clinton-basically-told-lorett/,Pants on Fire!
"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""",StGeorgeGazette.com,/web/20180119171057/http://www.politifact.com/punditfact/statements/2017/jul/05/stgeorgegazettecom/story-about-ryan-announcing-trumps-resignation-com/,Pants on Fire!
"""The president in no way, form or fashion has ever promoted or encouraged violence.""",Sarah  Huckabee Sanders,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jul/05/sarah-huckabee-sanders/has-donald-trump-never-promoted-or-encouraged-viol/,False
"7 million people the Congressional Budget Office says won't have health insurance coverage under the Senate health care bill ""don't exist.""",Marc Short,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jul/05/marc-short/cbo-counted-7-million-people-who-dont-exist-says-w/,Half-True
"Since he and Scott Walker took office in 2011, ""60,000 new jobs have been created in this state -- 40,000 of them were created in Madison and the Madison area.""",Paul Soglin,/web/20180119171057/http://www.politifact.com/wisconsin/statements/2017/jul/05/paul-soglin/madison-mayor-understates-wisconsin-job-growth-ove/,False
"CNN’s ratings are ""way down.""",Donald Trump,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jul/03/donald-trump/trumps-pants-fire-claim-cnn-ratings-are-way-down/,Pants on Fire!
Minnesota imposed an Islamic anti-blasphemy law.,Bloggers,/web/20180119171057/http://www.politifact.com/punditfact/statements/2017/jul/03/blog-posting/no-minnesota-did-not-pass-anti-blasphemy-law-s-isl/,Pants on Fire!
"""I have seen crime increase in every major metropolitan area (in California) … Crime is on the rise in every major market.""",Travis Allen,/web/20180119171057/http://www.politifact.com/california/statements/2017/jul/03/travis-allen/travis-allens-mostly-false-claim-about-crime-calif/,Mostly False
"Says Scott Walker recently said ""he got his bald spot from hitting his head on a cabinet, and it's not a joke, he actually said that his bald spot came because he hit his head on a cabinet.""",Mark Pocan,/web/20180119171057/http://www.politifact.com/wisconsin/statements/2017/jul/03/mark-pocan/hairy-situation-testing-mark-pocan-claim-about-sco/,Mostly True
"""There is no reason for anybody to be losing any of their current benefits under Medicaid.""",Marco Rubio,/web/20180119171057/http://www.politifact.com/florida/statements/2017/jun/30/marco-rubio/marco-rubio-wrong-conclude-senate-bill-wont-lead-m/,Mostly False
"""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",Donald Trump,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jun/30/donald-trump/trump-falsely-claims-his-administration-has-deport/,False
"The New York State Senate ""passed legislation allowing minors to race snowmobiles, get their own hunting licenses, and not be employed gathering or picking rags, cigar stumps, or collecting bones.""",Samantha Bee,/web/20180119171057/http://www.politifact.com/new-york/statements/2017/jun/30/samantha-bee/joke-about-bills-passed-ny-state-senate-not-joke/,True
"France ""wouldn’t buy Texas beef for some reason, yet 76 percent of their energy comes from nuclear power.""",Rick Perry,/web/20180119171057/http://www.politifact.com/texas/statements/2017/jun/30/rick-perry/rick-perry-says-france-wouldnt-import-texas-beef-a/,Mostly True
"""U.N. official John Ashe set to testify against the Clintons may not have died by accident.""",Bloggers,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jun/30/blog-posting/blogger-falsely-ties-death-un-official-clintons/,False
"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",Ron Johnson,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jun/30/ron-johnson/ron-johnson-offers-credible-projection-federal-deb/,Mostly True
"""Leonardo DiCaprio explains why he’s moving to Casselberry, Florida.""",Bloggers,/web/20180119171057/http://www.politifact.com/punditfact/statements/2017/jun/30/blog-posting/no-leonardo-dicaprio-isnt-moving-orlando-suburb/,Pants on Fire!
"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year.""",Scott Walker,/web/20180119171057/http://www.politifact.com/wisconsin/statements/2017/jun/30/scott-walker/milwaukee-county-executive-scott-walker-didnt-hold/,Mostly False
"""Texas mothers are dying during childbirth at the highest rates in the nation.""",Shawn Thierry,/web/20180119171057/http://www.politifact.com/texas/statements/2017/jun/29/shawn-thierry/shawn-thierry-says-texas-leads-nation-mothers-dyin/,Mostly True
"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",Sean Spicer,/web/20180119171057/http://www.politifact.com/truth-o-meter/statements/2017/jun/28/sean-spicer/sean-spicer-tweets-misleading-obamacare-statistic/,Half-True
"""Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.""",Michael Needham,/web/20180119171057/http://www.politifact.com/florida/statements/2017/jun/28/michael-needham/are-medicaid-patients-more-likely-die-uninsured-he/,Mostly False
"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",Newt Gingrich,/web/20180119171057/http://www.politifact.com/punditfact/statements/2017/jun/28/newt-gingrich/gingrich-misleads-point-house-bill-grows-medicaid-/,Half-True
"""Trey Gowdy is the new director of the FBI!""",Snoopack.com,/web/20180119171110/http://www.politifact.com/punditfact/statements/2017/jun/28/snoopackcom/website-puts-fake-headline-old-post-supporting-tre/,Pants on Fire!
"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want.""",Paul Ryan,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/28/paul-ryan/paul-ryan-wrong-most-22-million-uninsured-would-be/,Mostly False
"Says Donald Trump ""wants to kick thousands of kids off of BadgerCare.""",Tammy Baldwin,/web/20180119171110/http://www.politifact.com/wisconsin/statements/2017/jun/28/tammy-baldwin/tammy-baldwins-half-true-claim-donald-trump-wants-/,Half-True
"""When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.""",Donald Trump,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/27/donald-trump/white-house-criticism-cbo-analysis-misleading/,Half-True
"President Trump has signed more bills into law ""than any president previously before at this stage in the game.""",Devin Nunes,/web/20180119171110/http://www.politifact.com/california/statements/2017/jun/27/devin-nunes/nunes-gets-it-wrong-trump-hasnt-signed-more-bills-/,False
"""We are seeing poverty being reduced in south St. Pete at a number larger than the national average, the state average, county or Tampa and Jacksonville.""",Rick Kriseman,/web/20180119171110/http://www.politifact.com/florida/statements/2017/jun/27/rick-kriseman/krisemans-claim-about-poverty-south-st-petersburg-/,Mostly False
"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. … This is study after study making this point.""",Bernie Sanders,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/27/bernie-s/bernie-sanders-projection-thousands-added-deaths-g/,Mostly True
Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.,Bloggers,/web/20180119171110/http://www.politifact.com/punditfact/statements/2017/jun/27/blog-posting/fake-news-saga-said-depp-threatened-trump-died-fed/,Pants on Fire!
"""Remember, Obamacare created a new category of eligibility. Working-age, able-bodied adults with no dependents for the first time became eligible for Medicaid if their income is below 138 percent of the poverty level. We’re going to continue that eligibility. No one loses coverage.""",Pat Toomey,/web/20180119171110/http://www.politifact.com/pennsylvania/statements/2017/jun/27/pat-toomey/toomey-conflates-two-things-latest-health-care-cla/,Half-True
"There ""are not cuts to Medicaid"" in the GOP health care proposals.",Kellyanne Conway,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/26/kellyanne-conway/does-senate-health-care-bill-cut-medicaid/,Mostly False
"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",Barack Obama,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/26/barack-obama/obama-blasts-gop-senate-bill-tax-cut-rich-health-c/,Mostly True
"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",Donald Trump,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/26/donald-trump/trump-wrongly-calls-muellers-special-counsel-clint/,Mostly False
Says investigators have found remains of missing women in steel barrels buried on Bill and Hillary Clinton’s property.,FreedomCrossroads.us,/web/20180119171110/http://www.politifact.com/punditfact/statements/2017/jun/26/freedomcrossroadsus/saga-bodies-found-barrels-clinton-property-fake-ne/,Pants on Fire!
"""Massive Bumble Bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""",Bloggers,/web/20180119171110/http://www.politifact.com/punditfact/statements/2017/jun/26/blog-posting/fake-headline-muddles-real-story-man-cooked-death-/,Pants on Fire!
"""If you became a Medicaid recipient through the Obamacare expansion, you are grandfathered in.""",Kellyanne Conway,/web/20180119171110/http://www.politifact.com/punditfact/statements/2017/jun/25/kellyanne-conway/house-health-care-bill-allows-some-stay-medicaid-n/,Mostly False
"""When colleges and universities are added, education spending is the biggest item in the state budget — about 52 percent of all state dollars.""",Dan Patrick,/web/20180119171110/http://www.politifact.com/texas/statements/2017/jun/23/dan-patrick/dan-patrick-notes-education-absorbs-52-percent-bud/,Mostly True
"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",Mark Pocan,/web/20180119171110/http://www.politifact.com/wisconsin/statements/2017/jun/23/mark-pocan/mark-pocan-claim-seven-years-later-scott-walker-ha/,True
"A waiver in the American Health Care Act ""doesn’t apply to things like maternity coverage.""",John Faso,/web/20180119171110/http://www.politifact.com/new-york/statements/2017/jun/22/john-faso/maternity-care-coverage-could-be-lost-through-stat/,False
"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",Antonio  Villaraigosa,/web/20180119171110/http://www.politifact.com/california/statements/2017/jun/22/antonio-villaraigosa/does-california-have-6th-largest-economy-world-and/,Mostly True
"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",Rick Perry,/web/20180119171110/http://www.politifact.com/truth-o-meter/statements/2017/jun/22/rick-perry/rick-perry-wrongly-downplays-human-role-climate-ch/,False
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",Ainsley Earhardt,/web/20180119171122/http://www.politifact.com/florida/statements/2017/jun/22/ainsley-earhardt/following-trump-voter-fraud-allegations-claim-57-m/,False
"""Chinese lunar rover finds no evidence of American moon landings.""",AntiNews.in,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/22/antinews/its-fake-news-chinese-lunar-rover-found-no-evidenc/,Pants on Fire!
Obamacare has led to fewer health insurance options for millions of Americans.,Donald Trump,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/21/donald-trump/white-house-tweet-wrongly-says-obamacare-led-fewer/,Mostly False
"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",Ken Paxton,/web/20180119171122/http://www.politifact.com/texas/statements/2017/jun/21/ken-paxton/ken-paxton-inaccurately-says-barack-obama-repeated/,Mostly False
"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,Ann Coulter,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/21/ann-coulter/ann-coulter-says-trump-granted-amnesty-nearly-1000/,Mostly True
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",Gus Bilirakis,/web/20180119171122/http://www.politifact.com/florida/statements/2017/jun/21/gus-bilirakis/gus-bilirakis-cites-flawed-study-defend-us-wit/,False
"""Libtard hero Al Franken forced to resign in disgrace.""",Bloggers,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/21/blog-posting/fake-post-about-franken-resigning-was-originally-f/,Pants on Fire!
"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.""",Joy Reid,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/21/joy-reid/joy-ann-reid-mistakes-size-trump-victory-georgia-d/,False
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",Tweets,/web/20180119171122/http://www.politifact.com/wisconsin/statements/2017/jun/21/tweets/pro-putin-ukrainian-gave-scott-walker-1-million/,Mostly False
"""This is not the first time (the Russians) have been involved in our elections.""",Richard Burr,/web/20180119171122/http://www.politifact.com/north-carolina/statements/2017/jun/20/richard-burr/heres-every-time-russian-or-soviet-spies-tried-int/,Half-True
"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",TheMiamiGazette.com,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/20/miami-gazette/report-cannibals-arrested-florida-fake-news/,Pants on Fire!
"Says Jon Ossoff ""doesn't even live in (his) district.""",Donald Trump,/web/20180119171122/http://www.politifact.com/georgia/statements/2017/jun/20/donald-trump/trump-right-ossoff-does-not-live-georgias-6th-cong/,True
"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""",LondonWebNews.com,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/20/londonwebnewscom/kellyanne-conway-did-not-say-liberal-women-hate-he/,Pants on Fire!
"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",FreedomCrossroads.us,/web/20180119171122/http://www.politifact.com/punditfact/statements/2017/jun/20/freedomcrossroadsus/fake-news-pelosi-had-breakdown-credited-familiar-t/,Pants on Fire!
"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.""",Principled PAC,/web/20180119171122/http://www.politifact.com/georgia/statements/2017/jun/19/principled-pac/pants-fire-claim-ossoff-supporters-celebrated-viol/,Pants on Fire!
"""Trump welcomes Jamaica as a U.S. territory""",Bloggers,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/19/blog-posting/claim-jamaica-became-us-territory-fake-news/,Pants on Fire!
Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,Great America Alliance,/web/20180119171122/http://www.politifact.com/georgia/statements/2017/jun/19/great-america-alliance/Attack-ad-Obama-book-turn-blacks-Dems-Georgia/,Pants on Fire!
"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",Donald Trump,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/19/donald-trump/donald-trump-tweet-50-approval-cherry-picks-pollin/,Mostly False
"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",Karl Racine,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/19/karl-racine/did-saudis-spend-money-trump-hotels-yes/,Mostly True
"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",Ivanka Trump,/web/20180119171122/http://www.politifact.com/truth-o-meter/statements/2017/jun/16/ivanka-trump/ivanka-trump-mostly-right-role-skills-gap-unfilled/,True
"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",Infowars,/web/20180119171134/http://www.politifact.com/truth-o-meter/statements/2017/jun/16/infowars/infowars-ridiculous-claim-dems-called-violence/,Pants on Fire!
A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting,New York Times Editorial Board,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/15/new-york-times-editorial-board/no-evidence-sarah-palins-pac-incited-shooting-rep-/,False
"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",TeddyStick.com,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/15/teddystickcom/maxine-waters-has-not-skipped-90-percent-congressi/,Pants on Fire!
"""Obamacare premiums have doubled"" in Wisconsin.",Donald Trump,/web/20180119171134/http://www.politifact.com/wisconsin/statements/2017/jun/15/donald-trump/donald-trumps-claim-about-obamacare-premiums-doubl/,Half-True
"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",Kirsten Gillibrand,/web/20180119171134/http://www.politifact.com/new-york/statements/2017/jun/15/kirsten-gillibrand/gillibrand-claim-ignores-cost-paid-leave-program/,Mostly False
"Says each of the past three years ""has been the hottest on record.""",Derrick Crowe,/web/20180119171134/http://www.politifact.com/texas/statements/2017/jun/15/derrick-crowe/democrat-lamar-smith-three-years-hottest-record-ea/,True
"Says Senate deliberations on the Affordable Care Act in 2009 and 2010 included hundreds of hours of debate and more than 100 Republican amendments, compared with zero for the American Health Care Act this year.",Bernie Sanders,/web/20180119171134/http://www.politifact.com/truth-o-meter/statements/2017/jun/14/bernie-s/bernie-sanders-tweet-exaggerates-lack-input-senate/,Half-True
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",Gavin Newsom,/web/20180119171134/http://www.politifact.com/california/statements/2017/jun/14/gavin-newsom/claim-americans-are-25x-more-likely-be-shot-and-ki/,Mostly True
"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",Donald Trump,/web/20180119171134/http://www.politifact.com/truth-o-meter/statements/2017/jun/14/donald-trump/trump-wrongly-ties-flawed-obamacare-data-death-spi/,Mostly False
"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",Richard Burr,/web/20180119171134/http://www.politifact.com/north-carolina/statements/2017/jun/14/richard-burr/russia-investigation-senate-hearings-have-uncommon/,True
"Says Iran has ""violated the terms of the (nuclear) deal.""",Karen Handel,/web/20180119171134/http://www.politifact.com/georgia/statements/2017/jun/14/karen-handel/iran-complying-nuclear-deal-yes-small-hiccups/,Mostly False
"""It's a longstanding policy of the Department of Justice not to comment on conversations that the attorney general has had with the president of the United States.""",Jeff Sessions,/web/20180119171134/http://www.politifact.com/truth-o-meter/statements/2017/jun/14/jeff-sessions/jeff-sessions-cites-longstanding-policy-deflect-se/,Half-True
"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",Rafael Anchia,/web/20180119171134/http://www.politifact.com/texas/statements/2017/jun/14/rafael-anchia/rafael-anchia-six-times-2011-federal-rulings-found/,True
"Says his campaign has received donations from ""more than 7,000 contributors.""",Andrew Gillum,/web/20180119171134/http://www.politifact.com/florida/statements/2017/jun/14/andrew-gillum/democratic-candidate-governor-andrew-gillum-overco/,Mostly False
"""NASA confirms Earth will experience 15 days of darkness In November 2017.""",Bloggers,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/14/blog-posting/its-fake-nasa-never-said-earth-will-go-dark-15-day/,Pants on Fire!
"""The DEA just raided a United States senator — Dems in a panic.""",Bloggers,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/14/blog-posting/claim-democratic-senator-busted-dea-fake-news/,Pants on Fire!
"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",Donald Trump,/web/20180119171134/http://www.politifact.com/truth-o-meter/statements/2017/jun/13/donald-trump/donald-trumps-boasts-about-accomplishments-office-/,Mostly False
"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",Bloggers,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/13/blog-posting/keanu-reeves-did-not-give-long-speech-attributed-h/,Pants on Fire!
"The House Republican health care bill ""guts protections against massive price hikes for Georgians with pre-existing conditions.""",Jon  Ossoff,/web/20180119171134/http://www.politifact.com/georgia/statements/2017/jun/13/jon-ossoff/ossoff-gop-health-plan-guts-protections-pre-existi/,Half-True
"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",AntiNews.in,/web/20180119171134/http://www.politifact.com/punditfact/statements/2017/jun/12/antinews/years-old-story-edward-snowden-can-prove-osama-bin/,Pants on Fire!
"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",Ivanka Trump,/web/20180119171146/http://www.politifact.com/truth-o-meter/statements/2017/jun/12/ivanka-trump/ivanka-trump-target-figures-women-stem-fields/,Mostly True
"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",Ann McLane Kuster,/web/20180119171146/http://www.politifact.com/new-hampshire/statements/2017/jun/09/ann-mclane-kuster/kuster-says-meals-wheels-critical-human-lifeline-s/,True
Says former FBI Director James Comey admitted to leaking classified information.,North Carolina Republican Party,/web/20180119171146/http://www.politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/,False
"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""",Kathy Hochul,/web/20180119171146/http://www.politifact.com/new-york/statements/2017/jun/09/kathy-hochul/new-york-closer-pay-equity-most-states/,Mostly True
"""Seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in California.",Antonio  Villaraigosa,/web/20180119171146/http://www.politifact.com/california/statements/2017/jun/09/antonio-villaraigosa/villaraigosa-gets-it-wrong-california-poverty-figu/,False
"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",Greg Gutfeld,/web/20180119171146/http://www.politifact.com/florida/statements/2017/jun/09/greg-gutfeld/fox-news-show-co-host-greg-gutfeld-denies-temperat/,Pants on Fire!
"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",Hillary Clinton,/web/20180119171146/http://www.politifact.com/wisconsin/statements/2017/jun/09/hillary-clinton/hillary-clintons-mostly-false-claim-photo-id-voter/,Mostly False
"""The Earth is 6,000 years old, that’s a fact.""",Jesse Kremer,/web/20180119171146/http://www.politifact.com/wisconsin/statements/2017/jun/08/jesse-kremer/republican-wisconsin-lawmaker-wrongly-states-its-f/,False
Says an Internet meme shows people rejoicing over the Paris agreement.,Sarah Palin,/web/20180119171146/http://www.politifact.com/florida/statements/2017/jun/07/sarah-palin/sarah-palin-facebook-meme-climate-accord-uses-unre/,False
"""Trump Removing Marines From the Navy.""",Vet TV,/web/20180119171146/http://www.politifact.com/punditfact/statements/2017/jun/07/vet-tv/idea-donald-trump-will-split-marines-navy-unfounde/,Pants on Fire!
"Says ""Scott Baio .. dies in small plane crash.""",Daily USA Update,/web/20180119171146/http://www.politifact.com/punditfact/statements/2017/jun/07/daily-usa-update/actor-scott-baio-healthy-after-fake-news-report-hi/,Pants on Fire!
"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",Scott Walker,/web/20180119171146/http://www.politifact.com/wisconsin/statements/2017/jun/07/scott-walker/property-taxes-lower-typical-wisconsin-home-under-/,Mostly True
"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",Jon  Ossoff,/web/20180119171146/http://www.politifact.com/georgia/statements/2017/jun/06/jon-ossoff/jon-ossoffs-mostly-true-claim-karen-handel-led-eff/,Mostly True
"""Nearly $2 billion in cash was flown over to Iran, money that the Obama administration has admitted is being used for terrorists and to support further activities there.""",Karen Handel,/web/20180119171146/http://www.politifact.com/georgia/statements/2017/jun/06/karen-handel/Handel-pushes-details-Iran-deal-terror-support/,Half-True
"""The waiting list for Pre-K is over in the House budget.""",David Lewis,/web/20180119171146/http://www.politifact.com/north-carolina/statements/2017/jun/06/david-lewis/thousands-more-children-and-families-could-soon-ge/,True
"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",Uspoln Website,/web/20180119171146/http://www.politifact.com/punditfact/statements/2017/jun/06/uspoln/no-trumps-reported-pick-usda-chief-scientist-did-n/,Pants on Fire!
"Says ""Monica Lewinsky Found Dead"" in a burglary.",Bloggers,/web/20180119171146/http://www.politifact.com/punditfact/statements/2017/jun/06/blog-posting/no-monica-lewinsky-was-not-murdered-shes-aliveand-/,Pants on Fire!
"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",Donald Trump,/web/20180119171146/http://www.politifact.com/truth-o-meter/statements/2017/jun/05/donald-trump/donald-trump-wrong-paris-accord-china-and-coal-pla/,False
"""70 percent of Florida is in drought today.""",Al Gore,/web/20180119171146/http://www.politifact.com/florida/statements/2017/jun/05/al-gore/al-gore-says-70-percent-floridas-drought-today/,Mostly True
