,statement,source,veracity
513,"Says that compared to Rick Baker's time as mayor, Kriseman ""had wet weather events that he did not experience"" that caused sewage spills. Baker ""went through significant periods of drought during his time as mayor.""",Rick Kriseman,0
514,"Tornado carries mobile home 130 miles, family inside unharmed.",Bloggers,0
515,"Says Scott Walker ""has taken money away from internet expansion in our state.""",Andy Gronik,0
516,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",Kamala Harris,1
518,"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",Roy Cooper,1
519,"""Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.""",Viral image,0
520,"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",Donald Trump,0
521,"Says President Donald ""Trump orders 13 Obama deep state operatives arrested for treason.""",Bloggers,0
523,"""We’re spending 18 percent of our GDP on healthcare while the average among industrialized countries is closer to 8 percent.""",Mike Gallagher,1
524,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",Donald Trump,1
525,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",Bloggers,0
526,"U.S. Sen. John McCain ""was singlehandedly responsible for starting a fire on (the) USS Forrestal aircraft carrier.""",Bloggers,0
527,The new tax will make soda sold in Chicago among the most expensive in the country.,Illinois Policy Institute,1
528,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",Donald Trump,1
529,"""Kim Jong Un killed in (President Donald) Trump’s overnight black op attack on North Korea.""",Bloggers,0
530,"""You have almost half the counties in America that have one provider or no provider for insurance"" on the Obamacare exchanges.",Sean Duffy,0
531,"Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",Donald Trump,0
532,"""Undocumented immigrants commit less crimes than the native born.""",Antonio  Villaraigosa,1
533,"""More Texans have jobs today than ever before in the history of our state.""",Greg Abbott,1
534,"""Hillary Clinton has third heart attack — docs says she ‘won’t survive’.""",Bloggers,0
535,"Says a New York physician and his wife jumped to their deaths because they ""can’t afford"" Obamacare.",Bloggers,0
537,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors.""",Ashley Smith,1
538,"""A witness will testify against Hillary Clinton.""",Bloggers,0
539,"""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",Donald Trump,0
540,"Says Dallas Cowboys owner Jerry Jones told players: ""Stand for the Anthem or you’re off team.""",Greg Abbott,0
541,"""The number of complaints against police officers has decreased from an average when Mr. (Rick) Baker was mayor from 78 to 14.""",Rick Kriseman,1
543,"Says Debbie Wasserman Schultz ""going to mental hospital after what she did overnight desperate to escape arrest.""",US Daily News 24,0
546,"As written, the (Illinois school funding) bill includes a bailout of Chicago’s broken teacher pension system.",Bruce Rauner,0
547,"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",Gwen Moore,1
548,"""Business spirit is the highest it's ever been, according to polls.""",Donald Trump,0
549,"Says Donald Trump was seen ""looking deliberately over a disabled child's head, ignoring his outstretched hand.""",J.K. Rowling,0
550,"California and New York are ""the two biggest polluting states in the country.""",Chris Sununu,0
551,"""Barack Obama tweets sick attack on John McCain, says he should have died.""",Bloggers,0
552,"The Inland Empire is ""the second fastest growing region"" for jobs in California.",Gavin Newsom,1
554,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",Anthony Scaramucci,0
555,"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",Newt Gingrich,1
557,"""Of all the money we spend on education, less than 32 percent goes to teachers.""",Dan Patrick,1
558,"""In order to sell insurance in Florida there are over 40 separate individual conditions that must be covered. ... far beyond the essential health benefits included in Obamacare.""",Marco Rubio,0
559,"There were 2,761 auto thefts in 2006 under Rick Baker and 1,095 auto thefts in 2016.",Rick Kriseman,1
560,"""We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.""",Donald Trump,0
561,"Republicans have "" won a thousand seats since Obamacare.""",Sean Duffy,1
562,"""Twitter reaches only 15 percent of the population.""",Mark Cuban,1
563,"""You've got thousands of people serving in the military who are transgender.""",Ted Lieu,1
565,"Cher ""is moving to Canada because of President Trump.""",Bloggers,0
566,"Amazon has a ""no-tax monopoly.""",Donald Trump,0
567,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",Bloggers,0
569,"""When the price for oil goes up on the markets, it goes right up, but it never goes down.""",Charles Schumer,0
570,"""We had the best jobs report in 16 years.""",Donald Trump,1
571,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",Donald Trump,0
572,"Say Gretchen Carlson said, ""The 2nd Amendment Was Written Before Guns Were Invented.""",Bloggers,0
573,"Say Oscar Pistorius ""commits suicide in prison.""",Bloggers,0
575,"Preliminary murder rates in Philadelphia ""will put the murder rate at the highest of this decade in the city.""",Jeff Sessions,0
576,"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",Jeff Sessions,0
578,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""",Eric Schneiderman,1
579,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",Kellyanne Conway,0
580,"""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""",Kevin McCarthy,0
581,"""We now have about one-third of New York’s population on Medicaid.""",John Faso,1
582,"During the Nixon Watergate investigation, ""out of courtesy, the FBI started reporting to the Department of Justice. But there was nothing official.""",Donald Trump,0
584,Says President Richard Nixon held meetings with heads of state without an American interpreter.,Ian Bremmer,1
585,"""We went from zero A elementary schools when I took office to 16 when I left, and our total A and B schools went up by 260 percent.""",Rick Baker,1
586,"Says Paul Ryan ""has not had a public town hall within the district for over 600 days.""",Randy Bryce,1
587,"""Kim Jong Un dead: North Koreans calling Trump an assassin""",Bloggers,0
588,"""We’ve signed more bills -- and I’m talking about through the legislature -- than any president ever.""",Donald Trump,0
589,"""Elizabeth Warren doesn't think Obamacare goes far enough: ‘The next step is single payer.' Does Sen. Nelson agree? He has in the past ... Sen. Nelson votes with Warren 90 percent of the time.""",National Republican Senatorial Committee,0
590,"""One"" Texas school ""district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year.""",Joe Straus,1
591,"""The last majority-Anglo high school class in Texas graduated in 2014.""",Evan Smith,0
593,"""In the ‘40s, 68 cents of every health care dollar was actually paid for by the patient, today it’s only 11 cents.""",Ron Johnson,1
595,"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",George Will,0
596,Shepard Smith was fired from Fox News.,Bloggers,0
597,"Says Ted Kennedy met ""with the KGB in order to beat Ronald Reagan in 1984.""",Greg Gutfeld,0
598,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can.""",Donald Trump,0
599,"""There was someone else on that plane for the secret Bill Clinton/Loretta Lynch meeting.""",Bloggers,0
600,"""Malia Obama Fired From Cushy Internship At Spanish Embassy""",FreedomCrossroads.us,0
601,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",Elizabeth Warren,1
602,"""White House chef quits because Trump has only eaten fast food for 6 months.""",HalfwayPost.com,0
603,"Says his job approval poll numbers are ""not bad"" relative to other presidents at this point in his presidency.",Donald Trump,0
605,"In Ohio, due to Medicaid expansion, ""nearly 60,000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.""",Mike Pence,0
607,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""",Stacey Evans,1
608,"Says ""Donald Trump was doing a rally in the state of Florida"" the day Trump's son and others met with a Russian lawyer in New York.",Corey Lewandowski,0
609,"Says former Rep. Michele Bachmann said that ""White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery.""",Uspoln Website,0
610,"Says Tom Barrett ""has directed that tens of millions of City of Milwaukee tax dollars be used for the construction of a downtown trolley at the expense of: health and public safety; repair and replacement of public infrastructure; public education; and, job creation and economic development.""","Save Our City, Milwaukeeans Can't Wait",0
612,Says it’s documented that City of Austin fees for building an apartment complex are nearly 10 times what Dallas levies.,Paul Workman,1
613,"""It's an absolute fact"" that China and North Korea ""have consistently over many, many years"" meddled in U.S. elections.",Reince Priebus,0
614,Says two of U.S. Rep. Nancy Pelosi’s daughters were arrested for smuggling drugs.,Bloggers,0
615,"""Collusion is not illegal.""",Eric Bolling,0
616,"Medicaid ""is contributing to 70 percent of our budget deficit right now. It’s the one that is in our lap because of Obamacare.""",Pat Toomey,0
617,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""",Bloggers,0
618,"""3,000-Pound Great White Shark Captured in Great Lakes.""",Bloggers,0
619,"Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""",Scott Walker,1
620,"California taxes are ""among the highest in the nation.""",Travis Allen,1
621,"""Midtown crime is up by 30 percent the last quarter.""",Rick Baker,0
622,"""Obama goes to G20 summit ...  Everywhere President Donald Trump goes, Obama shows up, too.""",Bloggers,0
623,"Says Paul Ryan said that 22 million Americans ""choose to be poor, so it’s their own problem if they can’t afford to be healthy.""",Newslo.com,0
624,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",Donald Trump,0
625,"Says Miami-Dade Circuit Court Judge Milton Hirsch ""is constantly overturned.""",Richard Corcoran,0
626,The GOP health care proposal would slash more than $135 million in federal funding available to PA schools.,Bob Casey,0
627,"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",Chris Murphy,0
628,"Says ""James Comey Has Been Having An Affair With"" Debbie Wasserman Schultz.",FreedomCrossroads.us,0
629,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",Donald Trump,0
630,"Giving a committee chair’s stipend in the New York State Senate to another member of that committee ""has been, in fact, a legislative practice for decades.""",Diane Savino,0
631,"""Sanctuary cities are extremely dangerous.""",Pat Toomey,0
634,"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""",Gwen Moore,0
635,"Spicer: ""Trump has the legal right to cancel SCOTUS because they serve at his pleasure""",Bloggers,0
636,"Says the manager of a Checkers in Miami Gardens, Fla., killed 10 employees.",Channel24News.com,0
637,"""Gas prices are the lowest in the U.S. in over ten years!""",Donald Trump,0
638,Australia is microchipping its public.,Bloggers,0
639,"Says that Bill Clinton ""basically"" told then-Attorney General Loretta Lynch in 2016 that ""we killed Vince Foster.""",Pete Olson,0
640,"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""",StGeorgeGazette.com,0
641,"""The president in no way, form or fashion has ever promoted or encouraged violence.""",Sarah  Huckabee Sanders,0
643,"Since he and Scott Walker took office in 2011, ""60,000 new jobs have been created in this state -- 40,000 of them were created in Madison and the Madison area.""",Paul Soglin,0
644,"CNN’s ratings are ""way down.""",Donald Trump,0
645,Minnesota imposed an Islamic anti-blasphemy law.,Bloggers,0
646,"""I have seen crime increase in every major metropolitan area (in California) … Crime is on the rise in every major market.""",Travis Allen,0
647,"Says Scott Walker recently said ""he got his bald spot from hitting his head on a cabinet, and it's not a joke, he actually said that his bald spot came because he hit his head on a cabinet.""",Mark Pocan,1
648,"""There is no reason for anybody to be losing any of their current benefits under Medicaid.""",Marco Rubio,0
649,"""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",Donald Trump,0
650,"The New York State Senate ""passed legislation allowing minors to race snowmobiles, get their own hunting licenses, and not be employed gathering or picking rags, cigar stumps, or collecting bones.""",Samantha Bee,1
651,"France ""wouldn’t buy Texas beef for some reason, yet 76 percent of their energy comes from nuclear power.""",Rick Perry,1
652,"""U.N. official John Ashe set to testify against the Clintons may not have died by accident.""",Bloggers,0
653,"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",Ron Johnson,1
654,"""Leonardo DiCaprio explains why he’s moving to Casselberry, Florida.""",Bloggers,0
655,"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year.""",Scott Walker,0
656,"""Texas mothers are dying during childbirth at the highest rates in the nation.""",Shawn Thierry,1
658,"""Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.""",Michael Needham,0
660,"""Trey Gowdy is the new director of the FBI!""",Snoopack.com,0
661,"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want.""",Paul Ryan,0
664,"President Trump has signed more bills into law ""than any president previously before at this stage in the game.""",Devin Nunes,0
665,"""We are seeing poverty being reduced in south St. Pete at a number larger than the national average, the state average, county or Tampa and Jacksonville.""",Rick Kriseman,0
666,"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. … This is study after study making this point.""",Bernie Sanders,1
667,Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.,Bloggers,0
669,"There ""are not cuts to Medicaid"" in the GOP health care proposals.",Kellyanne Conway,0
670,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",Barack Obama,1
671,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",Donald Trump,0
672,Says investigators have found remains of missing women in steel barrels buried on Bill and Hillary Clinton’s property.,FreedomCrossroads.us,0
673,"""Massive Bumble Bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""",Bloggers,0
674,"""If you became a Medicaid recipient through the Obamacare expansion, you are grandfathered in.""",Kellyanne Conway,0
675,"""When colleges and universities are added, education spending is the biggest item in the state budget — about 52 percent of all state dollars.""",Dan Patrick,1
676,"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",Mark Pocan,1
677,"A waiver in the American Health Care Act ""doesn’t apply to things like maternity coverage.""",John Faso,0
678,"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",Antonio  Villaraigosa,1
679,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",Rick Perry,0
680,"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",Ainsley Earhardt,0
681,"""Chinese lunar rover finds no evidence of American moon landings.""",AntiNews.in,0
682,Obamacare has led to fewer health insurance options for millions of Americans.,Donald Trump,0
683,"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",Ken Paxton,0
684,"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,Ann Coulter,1
685,"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",Gus Bilirakis,0
686,"""Libtard hero Al Franken forced to resign in disgrace.""",Bloggers,0
687,"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.""",Joy Reid,0
688,"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",Tweets,0
690,"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",TheMiamiGazette.com,0
691,"Says Jon Ossoff ""doesn't even live in (his) district.""",Donald Trump,1
692,"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""",LondonWebNews.com,0
693,"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",FreedomCrossroads.us,0
694,"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.""",Principled PAC,0
695,"""Trump welcomes Jamaica as a U.S. territory""",Bloggers,0
696,Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,Great America Alliance,0
697,"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",Donald Trump,0
698,"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",Karl Racine,1
699,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",Ivanka Trump,1
700,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",Infowars,0
701,A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting,New York Times Editorial Board,0
702,"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",TeddyStick.com,0
704,"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",Kirsten Gillibrand,0
705,"Says each of the past three years ""has been the hottest on record.""",Derrick Crowe,1
707,"""Americans are 25x more likely to be shot & killed than others in developed countries.""",Gavin Newsom,1
708,"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",Donald Trump,0
709,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",Richard Burr,1
710,"Says Iran has ""violated the terms of the (nuclear) deal.""",Karen Handel,0
712,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",Rafael Anchia,1
713,"Says his campaign has received donations from ""more than 7,000 contributors.""",Andrew Gillum,0
714,"""NASA confirms Earth will experience 15 days of darkness In November 2017.""",Bloggers,0
715,"""The DEA just raided a United States senator — Dems in a panic.""",Bloggers,0
716,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",Donald Trump,0
717,"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",Bloggers,0
719,"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",AntiNews.in,0
720,"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",Ivanka Trump,1
721,"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",Ann McLane Kuster,1
722,Says former FBI Director James Comey admitted to leaking classified information.,North Carolina Republican Party,0
723,"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""",Kathy Hochul,1
724,"""Seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in California.",Antonio  Villaraigosa,0
725,"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",Greg Gutfeld,0
726,"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",Hillary Clinton,0
727,"""The Earth is 6,000 years old, that’s a fact.""",Jesse Kremer,0
728,Says an Internet meme shows people rejoicing over the Paris agreement.,Sarah Palin,0
729,"""Trump Removing Marines From the Navy.""",Vet TV,0
730,"Says ""Scott Baio .. dies in small plane crash.""",Daily USA Update,0
731,"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",Scott Walker,1
732,"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",Jon  Ossoff,1
734,"""The waiting list for Pre-K is over in the House budget.""",David Lewis,1
735,"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",Uspoln Website,0
736,"Says ""Monica Lewinsky Found Dead"" in a burglary.",Bloggers,0
737,"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",Donald Trump,0
738,"""70 percent of Florida is in drought today.""",Al Gore,1
739,"""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",Scott Pruitt,0
740,"""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",Al Gore,0
741,"Says Arabic ""is the third most-common language in Austin.""",Maram Museitif,0
742,"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,Donald Trump,0
743,"Clean energy employs ""more than half a million Californians. That’s nearly ten times more the number of coal mining jobs that exist in the entire nation.""",Kevin de León,1
744,"""State economic development dollars were used to support a project where goods were manufactured in China.""",Anthony Brindisi,0
745,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",Ann Hudspeth,1
746,"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",Bill Peduto,1
747,"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",Kimberley Strassel,0
748,"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",Mike  McCabe,1
750,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",Debbie Wasserman Schultz,1
751,"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """,Uspoln Website,0
752,"""ISIS is infiltrating America and using Syrians to do it.""",National Republican Congressional Committee,0
753,"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",Bernie Sanders,0
754,"""You can collude all you want with a foreign government in an election. There's no such statute"" (that makes collusion a crime).",Gregg Jarrett,0
755,"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",Uspoln Website,0
756,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",John Kelly,1
757,President Trump greenlighted Congress to ramp up Clinton investigation.,Bloggers,0
758,"In Wisconsin’s school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",Mark Pocan,0
759,"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.""",Bloggers,0
760,"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",Claire McCaskill,1
761,"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with.""",Bloggers,0
763,"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",Donald Trump,0
764,"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C.""",Bloggers,0
765,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",PatriotCrier.com,0
766,"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""",Congressional  Leadership Fund,0
768,"California Gov. Jerry Brown’s budget ""cuts funds for local tree mortality efforts from $52.7 million to just $2 million.""",Jim Patterson,0
769,"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",James Lankford,0
770,"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",Samantha Bee,1
771,"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",Desmond Meade,1
772,"Under the American Health Care Act ""people with pre-existing conditions are protected.""",American Action Network,0
774,"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""",Bloggers,0
775,"""Voter turnout in 2016 was reduced by approx. 200,000 votes because of WI’s photo ID laws.""",Tammy Baldwin,0
776,"""Last year was one of the deadliest years ever for law enforcement officers.""",Thom Tillis,0
777,"""Donald Trump praises Colonel Sanders for his service in the Civil War.""",TheRedShtick.com,0
778,"The Department of Homeland Security’s database of legal immigrants has ""never"" been ""bounced against a state’s voter rolls.""",Kris Kobach,0
779,"""If Donald Trump would stay home from Mar-a-Lago one weekend, it would pay the entire meals on wheels budget for the state of Missouri for almost two years.""",Claire McCaskill,0
780,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",Newt Gingrich,0
781,"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",Dan Patrick,0
783,"California Gov. Jerry Brown has proposed ""diverting 30 percent of the funding"" from the state’s gas tax increase ""to non-road related projects like building parks and job training for felons.""",Melissa  Melendez,0
784,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",Maxine Waters,0
787,There is no ‘backlog’ of untested rape kits in Wisconsin.,Brad Schimel,0
788,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",Rush Limbaugh,0
789,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",Charles Schumer,1
790,"Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""",Greg Abbott,0
791,"Says there are thousands of registered voters over 110 years old in North Carolina, including one who is 219 years old.",Chain email,0
792,"""More (people) die from indoor air pollution than from malaria, HIV/AIDS and TB combined.""",James Rockall,1
793,"""Jefferson Davis statue to be replaced with Obama likeness.""",TDAlliance.com,0
794,"Farmers ""are now dumping milk into the ditches"" because of a trade dispute with Canada",Chris Collins,0
795,"An ""abortion procedure is actually safer than a vasectomy.""",Mary González,1
796,"""Some of the safest communities in the United States are along the border.""",Jorge Ramos,1
797,"""FBI uncovers evidence that 62 million Trump voters are all Russian agents!""",Bloggers,0
798,"It is a myth that Florida's education legislation was ""negotiated in secret.""",Richard Corcoran,0
799,"Says ""Karen Handel’s office budget increased a whopping 42 percent.""",DCCC,0
800,"""Barack Obama arrested in a Japanese drug bust.""",Bloggers,0
801,"""We are investing more money into education than ever before in the history of Wisconsin.""",Scott Walker,0
802,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",James Risch,1
803,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",Chris Murphy,1
804,Say Lance Armstrong is dead.,Bloggers,0
805,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",Bloggers,0
807,"The federal tax code includes ""deductions for birds flying across America.""",Donald Trump,1
809,"""Planned Parenthood is the biggest abortion provider in the country.""",Glenn Grothman,1
810,"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",Nate Walker,0
811,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",Donald Trump,0
812,"""Clinton Foundation cargo ship raided at Port of Baltimore"" caught smuggling 460 undocumented immigrants.",Bloggers,0
813,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""",Donald Trump,0
815,The Republican replacement for Obamacare does not give massive tax cuts to wealthy Americans.,Sean Duffy,0
817,"Says a federal program that collects reported side-effects of vaccinations doesn’t accept possible outcomes extending to road accidents, heart attacks or suicides.",Bill Zedler,0
819,"""We got to a point that our Air Force pilots were going to museums to find spare parts over the last eight years"" under Barack Obama.",Paul Ryan,0
820,"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""",Bloggers,0
824,"""We have 5 percent of world population. 80 percent of opioids.""",Claire McCaskill,0
825,"In the House Republican health care bill, ""we’re expanding women’s access to health services by redirecting Planned Parenthood dollars to community health centers, which vastly outnumber Planned Parenthood clinics.""",Barry Loudermilk,0
826,"""Nobody on Medicaid"" will have their benefits taken away.",Kevin McCarthy,0
827,"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""",Judy Chu,0
828,"""Clinton Foundation ordered to cease operations – Chelsea (Clinton) charged with fraud!""",Bloggers,0
829,"""Under ‘Trumpcare,’"" domestic violence and sexual assault ""could be considered pre-existing conditions.""",Gwen Moore,0
830,"""Coffee is the second-most traded commodity after oil.""",Starbucks,0
831,"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",Thomas Croci,1
